seed,dimension,family,trial,translation_error,relative_error,additive_control_shift
0,4,simplex,12,1.7763568394002505e-15,8.881784197001252e-16,0.851704172107155
0,4,simplex,13,5.329070518200751e-15,3.552713678800501e-15,1.2424409414028332
0,4,simplex,14,5.329070518200751e-15,5.329070518200751e-15,0.05518014112890768
0,4,simplex,15,1.3322676295501878e-15,0.0,0.45204132610388825
0,4,simplex,16,1.7763568394002505e-15,8.881784197001252e-16,0.67546110299444
0,4,simplex,17,0.0,0.0,5.313887959595149
0,4,simplex,18,0.0,1.7763568394002505e-15,2.1388095950088015
0,4,simplex,19,1.7763568394002505e-15,0.0,4.608680459144999
0,4,random,0,1.7763568394002505e-15,0.0,2.641469213536652
0,4,random,1,0.0,0.0,0.6570842017152216
0,4,random,2,1.1102230246251565e-15,1.1102230246251565e-15,1.2458663833908794
0,4,random,3,1.7763568394002505e-15,1.3322676295501878e-15,3.280411983160061
0,4,random,4,0.0,1.7763568394002505e-15,1.6683084847559897
0,4,random,5,0.0,1.7763568394002505e-15,1.879632374404368
0,4,random,6,1.7763568394002505e-15,3.552713678800501e-15,2.543817055352662
0,4,random,7,0.0,4.440892098500626e-16,0.10120718804098772
0,4,random,8,1.7763568394002505e-15,0.0,2.7883151007866687
0,4,random,9,8.881784197001252e-16,1.5543122344752192e-15,0.17260151505558952
0,4,random,10,4.440892098500626e-15,1.7763568394002505e-15,0.2717880334976428
0,4,random,11,0.0,3.552713678800501e-15,0.27668080475502776
0,4,random,12,1.7763568394002505e-15,0.0,8.438900694520129
0,4,random,13,1.7763568394002505e-15,0.0,5.234281921093494
0,4,random,14,2.220446049250313e-15,0.0,0.34504530065921557
0,4,random,15,7.105427357601002e-15,7.105427357601002e-15,4.39054545722059
0,4,random,16,1.7763568394002505e-15,0.0,2.2629282974114204
0,4,random,17,0.0,0.0,0.8852701468987831
0,4,random,18,2.6645352591003757e-15,1.7763568394002505e-15,2.2211491116346025
0,4,random,19,2.6645352591003757e-15,1.7763568394002505e-15,0.43084851010453207
0,5,simplex,0,1.7763568394002505e-15,2.6645352591003757e-15,3.214815526053229
0,5,simplex,1,3.552713678800501e-15,7.105427357601002e-15,3.2379649773421164
0,5,simplex,2,8.881784197001252e-16,1.7763568394002505e-15,2.6116293485171127
0,5,simplex,3,8.881784197001252e-16,2.6645352591003757e-15,8.537053599904574
0,5,simplex,4,8.881784197001252e-16,0.0,2.32551897062163
0,5,simplex,5,3.552713678800501e-15,0.0,5.624576031086022
0,5,simplex,6,2.6645352591003757e-15,3.552713678800501e-15,1.0024626959654093
0,5,simplex,7,1.7763568394002505e-15,8.881784197001252e-16,0.3081611383113909
0,5,simplex,8,8.881784197001252e-16,8.881784197001252e-16,1.259857388779153
0,5,simplex,9,8.881784197001252e-16,8.881784197001252e-16,2.3875338251508538
0,5,simplex,10,4.440892098500626e-15,4.440892098500626e-15,0.4999367124381351
0,5,simplex,11,0.0,0.0,2.8127949885482266
0,5,simplex,12,1.7763568394002505e-15,1.7763568394002505e-15,3.8225923321118636
0,5,simplex,13,7.105427357601002e-15,1.7763568394002505e-15,7.689998178117868
0,5,simplex,14,5.329070518200751e-15,0.0,3.126411077250996
0,5,simplex,15,3.552713678800501e-15,5.329070518200751e-15,2.7301426044367467
0,5,simplex,16,1.7763568394002505e-15,3.552713678800501e-15,1.8831015339258705
0,5,simplex,17,2.220446049250313e-15,2.6645352591003757e-15,0.9730357194086849
0,5,simplex,18,1.7763568394002505e-15,1.7763568394002505e-15,1.563913174495724
0,5,simplex,19,0.0,5.329070518200751e-15,1.8319557215273718
0,5,random,0,2.6645352591003757e-15,4.440892098500626e-15,0.5954118416420329
0,5,random,1,7.105427357601002e-15,2.6645352591003757e-15,1.5626841807916065
0,5,random,2,0.0,8.881784197001252e-16,5.675157872847155
0,5,random,3,4.440892098500626e-16,0.0,6.501973044284714
0,5,random,4,0.0,1.7763568394002505e-15,1.9941423450407356
0,5,random,5,2.6645352591003757e-15,8.881784197001252e-16,1.7767789165844405
0,5,random,6,0.0,1.7763568394002505e-15,0.6700863235165855
0,5,random,7,3.552713678800501e-15,3.552713678800501e-15,0.010686566824773536
0,5,random,8,4.440892098500626e-16,4.440892098500626e-16,0.8604308935562486
0,5,random,9,8.881784197001252e-16,8.881784197001252e-16,1.0310380548156246
0,5,random,10,3.552713678800501e-15,1.7763568394002505e-15,0.46207289317005973
0,5,random,11,1.9984014443252818e-15,6.661338147750939e-16,0.5425006703448645
0,5,random,12,1.7763568394002505e-15,1.7763568394002505e-15,1.7097308603223098
0,5,random,13,1.7763568394002505e-15,3.552713678800501e-15,10.262880512553313
0,5,random,14,0.0,1.7763568394002505e-15,0.11990169596189304
0,5,random,15,5.329070518200751e-15,1.7763568394002505e-15,3.5413732015859054
0,5,random,16,3.552713678800501e-15,8.881784197001252e-16,0.3692414566501867
0,5,random,17,1.7763568394002505e-15,0.0,0.36945273083808416
0,5,random,18,3.552713678800501e-15,0.0,6.316967078152306
